COLUMN_NAMES,IMPORT_INTO_DATABASE,id,last_updated,name,audio_file,audio_type,description,duration,credit,date_created_or_captured,image_file,image_desc,location,url,last_invoked,active
DATA_TYPES,,INT NOT NULL AUTO_INCREMENT PRIMARY KEY,TIMESTAMP DEFAULT CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,VARCHAR(64) NOT NULL,VARCHAR(64) NOT NULL,VARCHAR(64) DEFAULT NULL,VARCHAR(511) DEFAULT NULL,INT DEFAULT NULL,VARCHAR(64) DEFAULT NULL,DATE DEFAULT 0,VARCHAR(128) DEFAULT NULL,VARCHAR(255) DEFAULT NULL,VARCHAR(64) DEFAULT NULL,VARCHAR(2083) DEFAULT NULL,DATETIME DEFAULT 0,BOOLEAN DEFAULT FALSE
DATA_ROW,TRUE,,,American Crow,romo-AMCRROMO6242015CubLakeTrail.mp3,call,American Crow call recorded on the Cub Lake Trail of Rocky Mountain National Park.,118,J. Job,2015-06-24,bird_AmericanCrow_20170901_RachelAmes_600x400.jpg,American Crow in the woods at Sprague Lake. NPS Photo / Rachel Ames,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americancrow.htm,,
DATA_ROW,TRUE,,,American Pipit,romo-AMPIROMO6232015TrailRidgeRd.mp3,song,American Pipit song recorded on Trail Ridge Rd in Rocky Mountain National Park.,52,J. Job,2015-06-23,bird_AmericanPipit_20140716_Schonlau_600x436.jpg,American Pipit forages in the tundra at the Rock Cut along Trail Ridge Road.,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americanpipit.htm,,
DATA_ROW,FALSE,,,American Pipit,,call,American Pipit call recorded in Upper Beaver Meadows in Rocky Mountain National Park.,17,J. Job,2016-05-19,bird_AmericanPipit_20140716_Schonlau_600x436.jpg,American Pipit forages in the tundra at the Rock Cut along Trail Ridge Road.,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americanpipit.htm,,
DATA_ROW,TRUE,,,American Robin ,romo-AMROROMO6222016EastInlet.mp3,song,American Robin song recorded at the East Inlet in Rocky Mountain National Park.,78,J. Job,2016-06-22,bird_AmericanRobin_20190622_RachelAmes_600x400.jpg,American Robin with worms. NPS Photo / Rachel Ames,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americanrobin.htm,,
DATA_ROW,TRUE,,,American Robin ,romo-AMROROMO5182016HollowellParkTrail.mp3,song,American Robin song recorded on the Hollowell Park Trail in Rocky Mountain National Park.,100,J. Job,2016-05-18,bird_AmericanRobin_20190622_RachelAmes_600x400.jpg,American Robin with worms. NPS Photo / Rachel Ames,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americanrobin.htm,,
DATA_ROW,TRUE,,,American Robin ,romo-AMROROMO5302017UpperBeaverMeadows.mp3,call,American Robin call recorded in Upper Beaver Meadows in Rocky Mountain National Park.,34,J. Job,2017-05-30,bird_AmericanRobin_20190622_RachelAmes_600x400.jpg,American Robin with worms. NPS Photo / Rachel Ames,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americanrobin.htm,,
DATA_ROW,TRUE,,,American Three-toed Woodpecker,romo-ATTWROMO06292015EmeraldLakeTrail.mp3,drum,American Three-toed Woodpecker drum recorded on the Emerald Lake Trail in Rocky Mountain National Park.,177,J. Job,2015-06-29,bird_AmericanThree-toedWoodpecker-Male-Female_20190629_RachelAmes_600x400.jpg,Left: American Three-toed Woodpecker female. Right: American Three-toed Woodpecker male. NPS Photo / Rachel Ames,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americanthreetoedwoodpecker.htm,,
DATA_ROW,TRUE,,,American Three-toed Woodpecker,romo-ATTWROMO6232015GreenMountainTrail.mp3,drum,American Three-toed Woodpecker drum recorded on the Green Mountain Trail in Rocky Mountain National Park. Note that a Ruby-crowned Kinglet can be heard singing in the background.,64,J. Job,2015-06-23,bird_AmericanThree-toedWoodpecker-Male-Female_20190629_RachelAmes_600x400.jpg,Left: American Three-toed Woodpecker female. Right: American Three-toed Woodpecker male. NPS Photo / Rachel Ames,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americanthreetoedwoodpecker.htm,,
DATA_ROW,TRUE,,,American Three-toed Woodpecker,romo-ATTWROMO5302017BeaverPonds.mp3,drum,American Three-toed Woodpecker drum recorded at the Beaver Ponds in Rocky Mountain National Park.,301,J. Job,2017-05-30,bird_AmericanThree-toedWoodpecker-Male-Female_20190629_RachelAmes_600x400.jpg,Left: American Three-toed Woodpecker female. Right: American Three-toed Woodpecker male. NPS Photo / Rachel Ames,Rocky Mountain National Park,https://www.nps.gov/romo/learn/photosmultimedia/sounds-americanthreetoedwoodpecker.htm,,
